market_id,product_id,price
1,8,30500
1,1,37000
1,10,37000
1,7,33000
1,9,30500
1,4,33000
1,2,37000
2,8,34000
2,9,37000
2,3,32000
2,7,30000
2,4,30000
2,6,30500
2,10,27000
3,2,37000
3,9,27000
3,5,28000
3,6,29000
3,3,30500
3,7,33000
3,4,30500
4,10,33000
4,8,27000
4,9,34000
4,1,37000
4,5,33000
4,3,32000
4,6,29000
5,5,28500
5,7,32000
5,10,28000
5,2,29000
5,8,30000
5,3,32000
5,1,30500
6,5,30000
6,6,27000
6,4,28500
6,7,28000
6,2,29000
6,1,28500
6,10,37000
7,9,30000
7,3,33000
7,4,28500
7,7,27000
7,1,30500
7,5,32000
7,2,30000
8,2,28000
8,4,30000
8,5,28000
8,6,28000
8,3,30500
8,7,28000
8,1,33000
9,1,28000
9,9,33000
9,5,37000
9,6,30500
9,7,29000
9,2,30500
9,4,30000
10,9,37000
10,2,28000
10,8,28500
10,10,34000
10,6,34000
10,5,29000
10,1,37000
11,1,33000
11,9,32000
11,6,29000
11,10,27000
11,3,30000
11,2,27000
11,8,27000
12,6,28500
12,8,33000
12,10,34000
12,9,33000
12,4,27000
12,7,37000
12,1,32000
13,9,34000
13,8,28500
13,2,33000
13,5,29000
13,3,37000
13,6,34000
13,7,30500
14,2,30500
14,1,28000
14,7,34000
14,9,29000
14,8,33000
14,5,34000
14,4,28500
15,4,33000
15,10,32000
15,6,33000
15,3,30500
15,7,30000
15,5,32000
15,8,34000
16,10,30000
16,5,27000
16,4,28000
16,9,27000
16,8,33000
16,6,32000
16,2,28000
17,7,37000
17,5,27000
17,4,28000
17,6,29000
17,2,29000
17,8,32000
17,10,30000
18,6,29000
18,7,32000
18,4,34000
18,3,32000
18,9,30500
18,2,32000
18,1,37000
19,7,28000
19,4,33000
19,6,32000
19,3,32000
19,9,30500
19,1,34000
19,8,30500
20,1,28500
20,7,37000
20,5,32000
20,3,32000
20,2,37000
20,6,34000
20,9,33000
21,4,29000
21,10,32000
21,7,33000
21,1,29000
21,3,27000
21,5,34000
21,8,32000
22,4,28500
22,2,30000
22,1,28000
22,5,29000
22,6,30500
22,3,33000
22,10,28500
23,4,28000
23,6,34000
23,2,30000
23,7,30000
23,3,30000
23,10,27000
23,9,29000
24,9,29000
24,3,28000
24,1,37000
24,2,32000
24,8,33000
24,6,29000
24,10,33000
25,6,27000
25,2,27000
25,3,30000
25,9,27000
25,5,30500
25,4,28000
25,7,30000
26,2,30500
26,5,30500
26,9,29000
26,3,27000
26,8,29000
26,10,30500
26,7,28500
27,8,27000
27,10,28000
27,9,27000
27,5,37000
27,2,27000
27,6,37000
27,7,28500
28,6,27000
28,7,30000
28,2,30000
28,9,37000
28,10,30500
28,1,37000
28,3,28500
29,2,37000
29,8,30500
29,10,30000
29,5,28000
29,7,28500
29,6,30000
29,9,28500
30,10,28500
30,7,30500
30,4,27000
30,5,33000
30,9,33000
30,3,33000
30,6,29000
